temperature,humidity,ph,rainfall,N,P,K
25.36,83.63,6.18,88.44,126,38,23
24.69,81.74,6.63,78.58,126,50,19
25.0,80.54,7.26,96.33,113,41,20
22.46,81.31,6.44,64.23,121,45,22
23.61,79.3,7.72,72.5,121,47,16
24.58,79.12,5.95,71.95,129,60,22
23.09,83.56,7.23,71.84,107,45,25
23.5,83.63,6.22,79.81,122,59,18
24.15,75.88,6.02,69.92,140,38,15
24.69,84.84,6.25,89.8,102,49,21
24.48,84.45,6.19,90.94,111,40,25
24.49,82.24,7.06,64.03,131,35,18
23.48,81.73,6.72,86.76,135,43,16
24.19,76.04,6.43,69.08,100,46,18
25.01,78.18,7.45,86.06,123,39,24
25.99,77.05,7.37,89.12,117,56,15
23.66,81.69,7.35,99.37,121,36,24
25.67,81.38,6.65,78.6,101,58,18
22.05,84.63,6.14,86.01,107,42,24
22.42,84.56,7.32,93.47,100,41,22
25.03,82.21,7.95,95.02,125,39,21
23.53,77.22,6.21,87.54,105,60,23
22.77,82.6,6.63,81.5,102,46,19
25.5,79.98,7.31,67.06,131,49,22
25.25,83.46,5.9,86.56,139,35,15
22.78,77.51,7.24,64.61,108,36,19
23.37,77.43,7.98,71.68,118,45,23
24.87,78.22,5.98,79.57,107,51,22
24.14,84.52,6.79,80.36,125,60,17
25.03,79.04,7.39,97.1,113,37,20
23.66,84.48,6.49,88.54,131,52,16
25.54,84.09,7.18,88.94,115,48,16
22.0,79.47,7.39,90.42,113,38,25
23.64,78.13,6.11,80.96,111,41,18
23.96,78.03,6.42,84.63,111,53,19
24.65,75.64,6.31,61.83,122,48,16
24.3,84.88,6.93,65.02,108,46,17
24.29,81.02,7.81,90.42,132,41,22
24.29,84.62,6.53,81.06,103,42,17
25.72,81.2,7.57,99.93,133,50,25
24.88,76.3,7.04,91.92,127,37,18
22.61,77.34,7.21,75.14,110,39,25
23.87,75.68,6.81,90.45,131,38,19
23.41,76.44,7.44,78.82,108,38,24
24.96,81.32,6.85,80.04,122,40,17
25.17,80.3,7.88,84.62,111,50,15
22.73,77.08,6.01,77.55,140,40,17
22.45,76.26,7.43,86.85,100,40,20
23.05,75.54,6.5,70.66,123,50,16
25.29,75.67,6.21,62.64,107,36,21
22.96,82.34,6.36,66.48,118,50,19
22.8,84.15,7.05,91.64,103,51,20
23.54,75.98,7.95,84.13,133,57,19
24.41,80.8,6.28,98.6,129,47,20
22.94,75.37,6.11,67.08,116,52,19
25.54,81.14,6.75,95.43,114,40,23
25.32,81.79,7.43,83.47,131,60,17
22.43,81.53,6.75,65.54,107,43,18
25.79,75.01,7.64,91.4,123,44,21
25.69,77.91,6.47,66.19,112,49,25
22.15,82.86,7.09,60.65,119,44,15
25.07,82.5,6.52,93.51,130,59,19
22.22,76.18,6.13,70.41,127,53,24
23.96,76.59,7.99,76.13,134,52,18
25.4,76.53,7.52,62.51,109,36,18
23.78,83.04,7.83,66.27,100,48,17
24.16,76.74,6.44,61.95,132,52,19
25.31,77.92,5.91,72.83,102,37,25
22.6,80.35,6.14,88.57,111,39,22
22.95,78.72,6.04,99.75,117,51,15
22.74,80.41,7.6,90.07,136,36,24
23.81,83.92,6.69,70.97,134,56,18
25.46,81.57,6.18,76.89,112,54,15
25.97,81.98,7.27,74.14,105,56,15
25.53,80.05,5.8,99.4,140,45,15
24.44,81.7,6.76,60.8,126,46,25
23.04,76.47,6.98,90.65,106,49,24
23.51,76.73,7.98,80.11,121,53,19
22.76,76.76,6.56,97.77,108,60,17
24.71,77.73,7.98,85.25,116,56,17
23.46,82.45,7.9,93.5,100,52,19
25.55,77.85,6.73,78.58,129,43,16
22.08,82.83,6.69,67.06,118,44,23
24.69,78.51,7.84,69.31,117,43,25
25.85,84.17,6.61,77.03,126,37,21
22.46,75.41,7.46,71.85,120,48,16
23.66,77.52,7.29,74.9,102,45,16
22.01,81.84,7.76,92.24,131,56,20
24.33,80.13,6.36,69.45,114,40,17
22.92,82.69,7.64,92.92,101,37,18
23.44,78.63,6.2,81.15,106,46,20
22.11,78.58,6.36,74.94,113,38,20
23.04,76.11,6.91,91.5,102,53,21
24.55,75.4,7.77,63.88,110,39,18
23.74,75.78,7.56,76.64,107,58,15
22.32,83.86,7.29,65.36,120,60,15
25.52,72.25,6.0,151.89,89,47,38
26.59,82.94,6.03,161.25,60,37,39
25.3,86.89,7.12,196.62,63,41,45
25.72,88.17,6.21,175.61,86,40,39
23.58,72.0,6.09,190.42,96,41,40
25.31,72.01,6.35,190.56,100,35,36
23.42,85.09,6.66,185.74,63,37,43
24.36,88.8,6.18,169.12,70,43,40
26.28,75.15,7.25,182.27,67,55,44
25.14,83.12,6.39,169.34,74,40,40
24.89,71.92,7.32,150.25,89,53,44
25.76,88.37,6.03,189.43,74,46,45
23.13,74.68,6.34,199.84,89,41,38
24.99,88.96,7.03,151.49,60,55,40
25.22,70.88,7.3,195.86,67,43,38
24.4,79.27,7.01,164.27,70,38,35
23.31,71.45,7.49,164.5,74,49,38
25.73,81.86,6.63,191.96,90,40,39
26.97,78.21,6.24,169.84,82,35,44
23.7,74.64,6.74,181.28,73,45,37
24.9,73.84,6.59,153.9,85,53,38
23.4,72.61,7.1,174.79,81,56,36
26.87,79.79,6.96,173.1,84,55,38
23.14,75.0,7.38,151.9,80,45,42
24.29,77.63,6.18,184.98,76,54,45
24.39,89.89,6.55,197.12,76,56,39
25.76,80.76,6.43,174.51,81,40,45
25.49,84.48,6.74,168.78,76,44,45
25.37,76.24,6.13,183.83,69,47,40
26.21,81.7,6.67,180.12,82,40,45
24.31,78.54,6.19,186.23,69,57,35
23.77,87.98,6.33,150.32,81,36,38
24.8,78.53,7.16,162.28,67,60,38
23.21,74.1,7.42,199.48,72,51,40
23.67,70.89,6.77,184.46,65,39,45
25.12,85.73,6.35,159.57,78,50,43
23.89,83.46,6.1,167.72,77,52,41
23.09,81.45,6.14,196.66,89,52,42
24.22,82.85,7.48,166.14,62,49,37
24.06,71.31,6.51,153.64,90,48,45
24.85,74.44,6.57,175.57,66,47,36
26.42,76.86,7.17,197.21,80,52,39
24.89,77.01,7.21,196.47,89,52,45
23.26,82.7,7.12,166.22,77,51,44
24.76,87.06,6.46,179.16,94,37,41
24.97,78.63,6.86,166.64,75,41,35
26.13,80.49,7.13,150.63,60,55,36
25.98,81.66,6.24,163.35,62,56,35
26.28,73.36,6.7,186.69,84,40,42
26.39,83.31,7.43,176.15,100,56,40
25.27,73.75,6.11,168.04,75,56,44
23.09,78.46,7.1,155.39,78,46,42
25.79,81.77,6.35,193.24,82,48,36
23.17,87.88,6.66,160.62,100,58,41
25.63,79.95,7.05,182.26,88,50,40
25.85,87.82,7.33,152.62,67,41,40
26.57,80.9,6.35,181.29,72,42,43
26.25,72.97,7.12,189.97,89,40,43
26.92,73.2,7.0,177.22,89,57,43
24.37,82.11,6.54,159.92,61,41,44
25.72,79.16,7.17,187.17,79,45,43
25.01,88.33,7.23,169.42,84,40,43
25.41,76.44,7.32,188.64,98,43,35
23.28,74.28,6.61,153.74,75,36,44
23.99,82.09,6.1,167.06,89,58,35
24.49,83.21,6.13,192.23,91,41,37
25.87,84.1,7.36,154.84,77,48,36
23.56,79.46,7.32,185.26,66,58,35
24.22,74.89,7.18,192.49,62,59,41
25.49,86.97,7.3,176.53,82,35,35
24.97,79.48,6.84,195.76,61,41,35
24.81,82.09,6.36,156.36,99,57,38
23.17,76.67,6.51,157.12,70,42,43
24.25,89.86,7.1,175.17,90,59,35
26.58,78.01,6.31,154.82,73,43,42
26.82,78.2,7.09,153.92,67,46,44
25.5,81.13,6.69,169.93,84,37,42
24.1,80.57,6.19,176.86,72,41,36
23.19,86.21,6.49,176.1,71,56,37
26.24,78.51,6.86,183.41,64,53,38
23.75,71.15,7.12,160.09,65,54,39
26.14,79.12,6.07,171.49,60,58,37
26.15,71.24,6.43,193.1,86,39,43
26.92,73.49,6.25,171.47,90,50,44
26.52,77.17,7.29,157.85,91,38,36
23.82,80.94,7.16,190.31,87,48,38
26.51,86.84,6.07,152.98,72,41,36
26.64,70.96,7.31,199.34,71,54,35
23.33,79.8,6.58,187.31,82,46,41
26.48,73.96,6.73,180.25,71,52,43
23.79,74.37,6.01,172.64,80,43,43
25.5,76.0,6.66,193.71,77,55,43
23.25,73.65,6.43,184.77,95,57,41
26.99,89.06,7.43,193.88,63,47,35
23.61,86.14,6.99,150.24,93,43,38
23.87,86.79,6.72,177.51,87,44,43
23.93,88.07,6.88,154.66,88,52,39
24.81,81.69,6.86,190.79,90,39,37
24.45,82.29,6.77,190.97,90,39,43
26.57,73.82,7.26,159.32,84,38,43
26.33,57.36,7.26,191.65,91,21,26
26.45,55.32,7.24,144.69,107,21,26
25.71,52.89,7.19,136.73,83,38,35
24.13,56.18,6.43,147.28,108,24,31
23.44,60.4,6.42,122.21,116,28,34
23.41,52.27,6.87,139.37,116,23,25
23.06,50.41,6.97,164.5,109,31,27
23.08,63.66,7.18,129.88,89,25,34
27.65,51.11,6.35,122.84,118,18,32
25.47,69.35,6.39,171.38,111,32,34
26.74,55.55,6.12,140.63,84,36,28
26.21,52.51,6.91,189.09,85,33,25
27.04,57.28,6.5,165.69,99,15,27
24.65,51.94,7.03,135.14,81,30,31
27.35,55.99,7.13,148.98,95,39,29
25.18,62.26,6.65,135.01,81,34,30
23.11,68.0,6.7,161.89,80,15,28
27.23,52.95,7.49,175.73,104,20,26
23.26,60.52,6.72,194.18,109,29,28
25.23,57.53,6.04,124.23,100,32,26
25.6,57.73,7.1,195.77,100,24,28
25.57,60.49,7.47,190.23,83,21,28
25.67,51.29,6.88,196.27,120,23,28
24.41,62.66,6.41,148.7,104,26,30
23.69,66.76,7.39,144.66,108,33,31
24.53,67.0,7.48,180.51,91,25,26
27.13,52.89,6.08,192.43,86,26,27
27.56,68.49,6.52,167.44,98,18,27
23.59,55.28,6.04,191.4,111,27,31
23.18,52.14,6.96,117.31,84,39,35
24.71,51.29,7.24,197.64,98,27,27
24.39,64.73,7.23,119.63,118,21,34
27.16,51.59,6.69,126.18,103,27,31
26.54,67.1,6.81,120.65,82,24,33
27.01,60.77,6.49,191.45,86,31,35
27.56,58.46,6.78,117.94,88,35,35
23.32,53.0,7.17,168.26,84,27,29
24.24,54.3,6.73,115.16,120,40,33
23.43,64.11,6.78,122.68,106,40,30
26.02,55.83,7.28,176.9,113,21,33
24.84,56.77,7.21,124.41,117,34,25
26.24,65.64,7.49,148.38,80,30,25
24.43,66.02,7.23,181.64,88,21,27
26.0,62.14,6.56,153.48,113,33,34
26.22,62.27,6.98,193.75,87,23,28
27.1,63.55,6.78,190.24,113,15,29
25.64,61.03,6.22,199.47,98,29,30
27.75,54.37,7.21,139.86,97,29,27
26.25,54.29,6.85,133.11,85,35,32
26.67,52.24,6.25,156.15,82,29,35
27.1,55.75,6.91,139.5,103,33,25
27.63,61.26,6.78,196.65,112,17,28
27.54,55.52,6.27,130.64,99,19,33
23.57,50.56,6.91,130.38,120,20,34
24.99,57.93,7.16,192.87,114,27,28
27.56,54.41,6.96,177.82,100,40,35
23.98,61.11,6.97,161.53,108,35,25
24.23,67.38,6.84,122.41,115,31,30
25.6,68.66,6.54,168.84,87,28,30
24.31,53.57,6.09,184.41,82,24,26
26.37,52.26,7.46,177.32,94,26,27
26.56,57.16,6.76,152.06,87,28,35
26.35,58.51,7.46,121.56,118,40,35
25.2,57.88,6.65,156.15,87,38,29
23.36,55.19,6.03,171.7,92,40,30
23.61,59.69,6.07,185.16,97,22,26
24.18,69.95,7.05,163.27,99,40,32
26.44,53.84,6.99,175.37,89,28,33
26.12,63.37,6.73,147.8,112,39,29
27.77,64.48,6.94,192.71,111,28,26
25.56,62.67,7.28,193.59,114,20,26
27.92,67.97,7.08,115.23,117,26,30
26.06,52.31,6.14,161.34,111,29,31
26.36,64.58,6.51,163.63,119,30,28
24.91,54.15,7.04,129.55,116,40,33
27.31,68.42,6.35,192.43,95,37,35
26.14,52.26,7.43,136.3,86,40,33
23.11,67.06,6.79,162.58,117,37,32
23.53,68.44,6.74,171.88,105,18,35
25.12,68.48,7.01,194.88,109,23,25
24.03,58.85,7.3,134.68,80,18,31
26.71,69.71,6.86,158.86,101,31,26
26.72,50.5,7.13,126.81,103,33,33
24.59,56.47,7.29,137.7,93,26,27
27.51,50.67,6.98,144.0,104,35,28
27.58,58.53,6.17,156.68,116,36,25
26.65,57.57,6.35,145.11,107,38,29
26.97,62.02,6.91,142.86,101,33,33
23.17,52.98,6.77,153.12,107,31,31
23.53,65.44,6.39,186.17,99,16,30
27.31,55.2,6.35,141.48,103,40,30
27.55,62.88,6.12,181.42,118,31,34
25.63,57.04,7.43,188.55,106,21,35
23.29,50.05,6.02,183.47,116,38,34
24.91,53.74,6.33,166.25,97,35,26
26.77,66.41,6.78,177.77,107,34,32
27.42,56.64,6.09,127.92,99,15,27
24.13,67.23,6.36,173.32,118,33,30
26.27,52.13,6.76,127.18,117,32,34
23.6,60.4,6.78,140.94,104,18,30
